,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region,year
5559,chisku1,Chilean Skua,Stercorarius chilensis,L5191081,Chile - Isla Santa Maria ferry + boat ride,2022-07-14,1.0,-37.07409,-73.40691,True,-1,Bío-Bío,2022
5564,bawnig1,Band-winged Nightjar,Systellura longirostris,L17875097,Lodge Chakana,2022-12-04,2.0,-18.196925,-69.568597,True,-1,Arica y Parinacota,2022
5567,baisan,Baird's Sandpiper,Calidris bairdii,L12642862,Caleta Bahía Salada,2022-03-15,2.0,-27.6272745,-70.905088,False,-1,Atacama,2022
5570,bkbalb,Black-browed Albatross,Thalassarche melanophris,L8918202,Islote Patache,2022-08-06,2.0,-20.8130774,-70.2151901,False,-1,Tarapacá,2022
5571,calqua,California Quail,Callipepla californica,L20275723,Casa Paine,2022-08-05,1.0,-33.8875905,-70.7432232,True,0,Región Metropolitana de Santiago,2022
5579,chitin1,Chilean Tinamou,Nothoprocta perdicaria,L12240990,Cuesta Loncopangue,2022-07-03,1.0,-37.759728,-71.781175,False,-1,Bío-Bío,2022
5588,magtap1,Magellanic Tapaculo,Scytalopus magellanicus,L17548833,V-155 Llanquihue Los Lagos CL (-41234 -73012),2022-02-17,1.0,-41.2341946,-73.0122763,True,-1,Los Lagos,2022
5590,rebhaw2,Variable Hawk,Geranoaetus polyosoma,L505166,Estero Quebrada Honda--Desembocadura,2022-05-26,1.0,-35.4108434,-72.4912262,False,-1,Maule,2022
5591,mosfin1,Mourning Sierra Finch,Rhopospina fruticeti,L16573946,Putre Arica y Parinacota CL (-18197 -69569),2022-11-30,15.0,-18.197355,-69.5685025,True,-1,Arica y Parinacota,2022
5596,strcar1,Striated Caracara,Daptrius australis,L5312773,Glaciar Santa Inés,2022-02-15,1.0,-53.8067333,-72.3728228,False,-1,Magallanes,2022
5597,rucspa1,Rufous-collared Sparrow,Zonotrichia capensis,L13449570,Estancia Río Cisnes,2022-03-28,0.0,-44.5032442,-71.3225118,False,-1,Aisén del General Carlos Ibáñez del Campo,2022
5600,whwcoo1,White-winged Coot,Fulica leucoptera,L822631,Buque Quemado,2022-11-29,2.0,-52.4068174,-69.5719528,False,-1,Magallanes,2022
5629,angpet1,Southern Giant-Petrel,Macronectes giganteus,L940016,Ferry Punta Delgada-Bahía Azul,2022-09-10,2.0,-52.474654,-69.5339944,False,-1,Magallanes,2022
5650,cthhue1,Chestnut-throated Huet-huet,Pteroptochos castaneus,L21867496,Vía sin nombre El Carmen Bío Bío CL (-36.83 -71.769),2022-12-21,0.0,-36.8303983,-71.7688367,True,-1,Ñuble,2022
5654,austhr1,Austral Thrush,Turdus falcklandii,L18263443,Casa-La Serena CL-Coquimbo -29.92386 -71.25641,2022-05-28,1.0,-29.923856,-71.256408,True,-1,Coquimbo,2022
5659,twbplo1,Two-banded Plover,Charadrius falklandicus,L18154368,Ruta 255 CH San Gregorio CL-Magallanes and Antartica Chilena -52.53747 -69.98172,2022-03-17,6.0,-52.53747,-69.98172,True,-1,Magallanes,2022
5664,wispet,Wilson's Storm-Petrel,Oceanites oceanicus,L571146,Ferry Punta Arenas-Porvenir (Pelágico),2022-10-25,7.0,-53.233989,-70.6777954,False,-1,Magallanes,2022
5668,ashgoo1,Ashy-headed Goose,Chloephaga poliocephala,L18281251,Fiordo de Agostini--Bahía Águila,2022-10-30,2.0,-54.4488801,-70.4827134,False,-1,Magallanes,2022
5674,silgre1,Silvery Grebe,Podiceps occipitalis,L604811,SN Humedales de Tongoy--Estero Pachingo Desembocadura,2022-06-04,0.0,-30.3052065,-71.5723658,False,-1,Coquimbo,2022
5676,pibgre,Pied-billed Grebe,Podilymbus podiceps,L21979734,Vía sin nombre Lampa Región Metropolitana CL (-33.198 -70.835),2022-12-04,2.0,-33.1979541,-70.8346131,True,-1,Región Metropolitana de Santiago,2022
5677,seacin1,Seaside Cinclodes,Cinclodes nigrofumosus,L570165,Reñaca--Montemar,2022-06-06,1.0,-32.9576713,-71.5500712,False,-1,Valparaíso,2022
5680,chimoc1,Chilean Mockingbird,Mimus thenca,L11120006,Los aromos-Hualañé,2022-06-24,1.0,-34.9738402,-71.8134439,True,-1,Maule,2022
5704,slbfin3,Slender-billed Finch,Xenospingus concolor,L668852,Río Lluta--Desembocadura,2022-10-23,2.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota,2022
5711,snoplo5,Snowy Plover,Charadrius nivosus,L516549,Humedal Lagunillas,2022-09-19,3.0,-30.117958,-71.3705349,False,-1,Coquimbo,2022
5717,houwre,House Wren,Troglodytes aedon,L21439225,Cruce T-851 (Calcurrupe) - Auquinco Lago Ranco CL-Los Ríos -40.20955 -72.21614,2022-11-12,1.0,-40.209547,-72.216136,True,-1,Los Ríos,2022
5732,chifla1,Chilean Flamingo,Phoenicopterus chilensis,L604963,MN Salar de Surire,2022-09-13,50.0,-18.7988649,-69.0871811,False,-1,Arica y Parinacota,2022
5737,pifshe,Pink-footed Shearwater,Ardenna creatopus,L21258028,Auto selected -33.04579 -71.70454,2022-10-15,30.0,-33.045788,-71.704542,True,-1,Valparaíso,2022
5738,belgul,Belcher's Gull,Larus belcheri,L2111817,Hotel Antofagasta,2022-01-25,25.0,-23.6440623,-70.4012704,False,-1,Antofagasta,2022
5756,oashum1,Oasis Hummingbird,Rhodopis vesper,L16067917,Colegio San Lorenzo,2022-04-13,2.0,-27.394336,-70.2997595,True,-1,Atacama,2022
5758,regcoo1,Red-gartered Coot,Fulica armillata,L6713695,Llanquihue--Playa Los Cisnes,2022-11-15,1.0,-41.2550941,-73.0009532,False,-1,Los Lagos,2022
5763,rutpla1,Rufous-tailed Plantcutter,Phytotoma rara,L976634,Cabo Blanco,2022-02-13,1.0,-39.7884884,-73.2486405,False,-1,Los Ríos,2022
5768,wtsfin1,White-throated Sierra Finch,Idiopsar erythronotus,L572426,PN Lauca--Las Cuevas,2022-12-27,1.0,-18.1670566,-69.4337654,False,-1,Arica y Parinacota,2022
5771,impcor1,Imperial Cormorant,Leucocarbo atriceps,L717821,Punta Arenas--Muelle viejo,2022-12-02,400.0,-53.1660704,-70.9000111,False,-1,Magallanes,2022
5776,crgdov1,Croaking Ground Dove,Columbina cruziana,L719036,Valle de Azapa--Santuario del Picaflor,2022-08-10,2.0,-18.5318936,-70.1666683,False,-1,Arica y Parinacota,2022
5780,redsho1,Red Shoveler,Spatula platalea,L8105999,PN Patagonia--Laguna Los Flamencos,2022-11-11,2.0,-46.7886662,-71.8885875,False,-1,Aisén del General Carlos Ibáñez del Campo,2022
5782,pigdov1,Picui Ground Dove,Columbina picui,L11293521,Fundo Cuel,2022-02-21,2.0,-37.5123523,-72.4664811,True,-1,Bío-Bío,2022
5784,brhgul2,Brown-hooded Gull,Chroicocephalus maculipennis,L12324073,806 Errazuriz Llanquihue Los Lagos CL (-41252 -73001),2022-02-03,9.0,-41.2521679,-73.0007348,True,-1,Los Lagos,2022
5787,lakduc1,Lake Duck,Oxyura vittata,L570658,SN Laguna Batuco,2022-10-01,8.0,-33.2064427,-70.8279133,False,-1,Región Metropolitana de Santiago,2022
5793,shicow,Shiny Cowbird,Molothrus bonariensis,L4940238,Humedal Marina del Sol,2022-06-11,30.0,-36.7743847,-73.0741453,False,-1,Bío-Bío,2022
5799,bkfibi1,Black-faced Ibis,Theristicus melanopis,L807764,Las Quemas Altas,2022-04-25,1.0,-40.6284479,-73.117919,False,-1,Los Lagos,2022
5815,whthaw1,White-throated Hawk,Buteo albigula,L13775728,492 Villarrica CL-La Araucanía -39.35390 -72.05452,2022-02-24,1.0,-39.353898,-72.054516,True,-1,Araucanía,2022
5824,pigdov1,Picui Ground Dove,Columbina picui,L13714477,Avenida Isabel Riquelme Maipú CL-Metropolitana de Santiago (-33.4834-70.7400),2022-11-27,15.0,-33.483409,-70.740008,True,-1,Región Metropolitana de Santiago,2022
5829,whttap1,White-throated Tapaculo,Scelorchilus albicollis,L20760655,Degu Study Site,2022-09-18,1.0,-30.5846299,-71.6540521,True,-1,Coquimbo,2022
5862,rudtur,Ruddy Turnstone,Arenaria interpres,L13531442,Tabulanque,2022-02-10,2.0,-33.4163991,-71.702241,False,-1,Valparaíso,2022
5864,bkfibi1,Black-faced Ibis,Theristicus melanopis,L20212266,918 Ramón Freire Osorno Los Lagos CL (-40.578 -73.131),2022-07-22,12.0,-40.5777789,-73.1306728,True,-1,Los Lagos,2022
5870,blkrai,Black Rail,Laterallus jamaicensis,L21165156,2720150 Santo Domingo CL-Valparaíso -33.62673 -71.62168,2022-10-08,1.0,-33.626731,-71.621681,True,-1,Valparaíso,2022
5878,bkbalb,Black-browed Albatross,Thalassarche melanophris,L1815304,Canal Beagle--Frente a Isla Picton,2022-02-26,17.0,-55.060464,-66.764943,False,-1,Magallanes,2022
5879,pecsan,Pectoral Sandpiper,Calidris melanotos,L606243,Humedal Tres Puentes,2022-02-11,1.0,-53.1162328,-70.8813,False,-1,Magallanes,2022
5891,grhowl2,Lesser Horned Owl,Bubo magellanicus,L13875547,Humedales de La Capilla,2022-10-22,1.0,-34.4885075,-70.9402959,False,-1,Libertador General Bernardo O'Higgins,2022
5901,gyfcin1,Gray-flanked Cinclodes,Cinclodes oustaleti,L774638,Curaco de Vélez,2022-09-19,10.0,-42.4351708,-73.606533,False,-1,Los Lagos,2022
5902,rucspa1,Rufous-collared Sparrow,Zonotrichia capensis,L16421635,Villa Santa Lucía,2022-02-20,3.0,-43.4142861,-72.3678391,False,-1,Los Lagos,2022
5904,tuttyr1,Tufted Tit-Tyrant,Anairetes parulus,L807764,Las Quemas Altas,2022-04-21,3.0,-40.6284479,-73.117919,False,-1,Los Lagos,2022
5910,ybttyr1,Yellow-billed Tit-Tyrant,Anairetes flavirostris,L571425,Belén--Bosque Queñua (Polylepis),2022-02-22,2.0,-18.4130883,-69.5071507,False,-1,Arica y Parinacota,2022
5918,chiswa1,Chilean Swallow,Tachycineta leucopyga,L6713695,Llanquihue--Playa Los Cisnes,2022-12-08,7.0,-41.2550941,-73.0009532,False,-1,Los Lagos,2022
5921,baytan3,Blue-and-yellow Tanager,Rauenia bonariensis,L21719834,Ruta A-213 Putre CL-Arica y Parinacota -18.26887 -69.59626,2022-12-05,5.0,-18.26887,-69.596259,True,-1,Arica y Parinacota,2022
5928,saffin,Saffron Finch,Sicalis flaveola,L15392474,2106 Cervantes Osorno Los Lagos CL (-40583 -73118),2022-11-01,1.0,-40.5825275,-73.1180206,True,-1,Los Lagos,2022
5929,whcela1,White-crested Elaenia,Elaenia albiceps,L6304735,Lago Neltume,2022-03-15,1.0,-39.7911272,-71.9822502,False,-1,Los Ríos,2022
5933,andgul1,Andean Gull,Chroicocephalus serranus,L9502372,RN Los Flamencos--Laguna Chaxa (Parque Laguna),2022-07-21,4.0,-23.2878293,-68.1775689,False,-1,Antofagasta,2022
5934,magcor1,Magellanic Cormorant,Leucocarbo magellanicus,L571146,Ferry Punta Arenas-Porvenir (Pelágico),2022-02-24,2.0,-53.233989,-70.6777954,False,-1,Magallanes,2022
5936,yebtea1,Yellow-billed Teal,Anas flavirostris,L9037810,PN Torres del Paine--Guardería Laguna Amarga,2022-02-12,6.0,-50.9794573,-72.8003858,False,-1,Magallanes,2022
5938,crgdov1,Croaking Ground Dove,Columbina cruziana,L684533,Valle del Río Lluta--Curso inferior,2022-11-05,7.0,-18.4107674,-70.2204037,False,-1,Arica y Parinacota,2022
5940,regcoo1,Red-gartered Coot,Fulica armillata,L6713695,Llanquihue--Playa Los Cisnes,2022-07-27,21.0,-41.2550941,-73.0009532,False,-1,Los Lagos,2022
5944,corcan1,Cordilleran Canastero,Asthenes modesta,L4082292,La Tirana,2022-01-15,2.0,-20.336056,-69.6564639,False,-1,Tarapacá,2022
5946,rocpig,Rock Pigeon,Columba livia,L11389602,570 Prieto Constitución Maule CL (-35.33 -72.415),2022-06-18,28.0,-35.3302416,-72.4147987,True,0,Maule,2022
5950,magtap1,Magellanic Tapaculo,Scytalopus magellanicus,L11094789,Chamiza--Pueblo,2022-06-11,1.0,-41.4831697,-72.8489498,False,-1,Los Lagos,2022
5955,chicar1,Chimango Caracara,Daptrius chimango,L12016562,Chaitén--Pueblo,2022-04-09,2.0,-42.9182658,-72.7095984,False,-1,Los Lagos,2022
5959,whwcoo1,White-winged Coot,Fulica leucoptera,L3679772,Canal Ifarle,2022-12-31,3.0,-36.7461661,-73.0837101,False,-1,Bío-Bío,2022
5960,dutcan1,Dusky-tailed Canastero,Pseudasthenes humicola,L12536163,Cerro Chiripilco,2022-08-15,1.0,-35.0695244,-71.6376548,False,-1,Maule,2022
5961,sbgtyr1,Spot-billed Ground-Tyrant,Muscisaxicola maculirostris,L18033005,Camino Embalse El Yeso San José de Maipo Región Metropolitana CL (-33615 -70001),2022-03-05,1.0,-33.6154508,-70.0011307,True,-1,Región Metropolitana de Santiago,2022
5971,ausbla1,Austral Blackbird,Curaeus curaeus,L18147262,Ruta 5 Norte--Shell Llay-Llay,2022-06-28,1.0,-32.848146,-70.9596473,False,-1,Valparaíso,2022
5976,baisan,Baird's Sandpiper,Calidris bairdii,L4905604,Lepihué,2022-03-14,6.0,-41.5931514,-73.5721302,False,-1,Los Lagos,2022
5987,shicow,Shiny Cowbird,Molothrus bonariensis,L807764,Las Quemas Altas,2022-09-12,2.0,-40.6284479,-73.117919,False,-1,Los Lagos,2022
5991,bthhue1,Black-throated Huet-huet,Pteroptochos tarnii,L18280998,S-318 Temuco Araucanía CL (-38638 -72583),2022-03-27,1.0,-38.6375251,-72.5832471,True,-1,Araucanía,2022
5997,refcoo1,Red-fronted Coot,Fulica rufifrons,L861844,Humedal Urbano Cartagena,2022-03-22,1.0,-33.5350454,-71.6022348,False,-1,Valparaíso,2022
6002,lakduc1,Lake Duck,Oxyura vittata,L6447140,Barrancas,2022-01-27,2.0,-34.5010846,-71.9843636,False,-1,Libertador General Bernardo O'Higgins,2022
6008,andcon1,Andean Condor,Vultur gryphus,L509049,RN Las Chinchillas,2022-11-24,1.0,-31.5135721,-71.1022175,False,-1,Coquimbo,2022
6010,auscan1,Austral Canastero,Asthenes anthoides,L504553,SN Humedal Río Maipo--Desembocadura,2022-06-30,1.0,-33.6198013,-71.6275442,False,-1,Valparaíso,2022
6018,yebpin1,Yellow-billed Pintail,Anas georgica,L15071205,3128 Card Juan Francisco Fresno Coquimbo Coquimbo CL (-29.97 -71.314),2022-01-13,2.0,-29.9700443,-71.3140699,True,-1,Coquimbo,2022
6023,burpar,Burrowing Parakeet,Cyanoliseus patagonus,L21438556,Cruce Ruta 115 CH (Bajo Perquín) – Puente Maule Arco Oriente - Cruce L-11 (Maule Sur) San Clemente CL-Maule -35.57010 -71.36142,2022-11-04,6.0,-35.570096,-71.361416,True,-1,Maule,2022
6034,oashum1,Oasis Hummingbird,Rhodopis vesper,L505193,Copiapó--Plaza de Armas,2022-04-23,1.0,-27.3664793,-70.3322947,False,-1,Atacama,2022
6035,bawswa1,Blue-and-white Swallow,Pygochelidon cyanoleuca,L2297155,Humedal el Membrillo,2022-08-07,1.0,-33.3443051,-71.6503978,False,-1,Valparaíso,2022
6036,chtsee1,Chestnut-throated Seedeater,Sporophila telasco,L940378,Museo de Azapa,2022-03-18,4.0,-18.5157287,-70.1809323,False,-1,Arica y Parinacota,2022
6043,commin1,Common Miner,Geositta cunicularia,L21919151,Bahia Lomas Oeste Ea. Caupolicán,2022-12-18,1.0,-52.5292837,-69.3303215,True,-1,Magallanes,2022
6049,monpar,Monk Parakeet,Myiopsitta monachus,L18391891,2066 Calle Carlos Antunez Santiago Región Metropolitana CL (-33428 -7061),2022-05-26,10.0,-33.4282642,-70.609517,True,0,Región Metropolitana de Santiago,2022
6054,whrsan,White-rumped Sandpiper,Calidris fuscicollis,L606243,Humedal Tres Puentes,2022-01-01,3.0,-53.1162328,-70.8813,False,-1,Magallanes,2022
6059,slbfin3,Slender-billed Finch,Xenospingus concolor,L940378,Museo de Azapa,2022-04-26,1.0,-18.5157287,-70.1809323,False,-1,Arica y Parinacota,2022
6061,chiwig1,Chiloe Wigeon,Mareca sibilatrix,L6517732,Huitag Lago Calafquén,2022-11-01,4.0,-39.5169318,-72.2751638,True,-1,Los Ríos,2022
6065,libher,Little Blue Heron,Egretta caerulea,L13047536,Parque El Loa,2022-08-09,3.0,-22.4803806,-68.929328,False,-1,Antofagasta,2022
6066,whcpet1,White-chinned Petrel,Procellaria aequinoctialis,L21529028,CL (-32.963 -71.789),2022-11-12,8.0,-32.9633033,-71.7893583,True,-1,Valparaíso,2022
6072,dabcin1,Dark-bellied Cinclodes,Cinclodes patagonicus,L21950145,S-919 Pucón Araucanía CL (-39.251 -71.865),2022-12-28,2.0,-39.2508522,-71.8649524,True,-1,Araucanía,2022
6073,chithr1,Chiguanco Thrush,Turdus chiguanco,L19070010,Hotel Puritama,2022-05-17,1.0,-22.911736,-68.203053,True,-1,Antofagasta,2022
6074,pmtspi1,Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides,L12603624,Plaza San Germán,2022-12-29,1.0,-33.440303,-70.7192188,False,-1,Región Metropolitana de Santiago,2022
6078,silgre1,Silvery Grebe,Podiceps occipitalis,L19533070,Puerto Talcahuano Bío Bío CL (-36.709 -73.111),2022-06-08,20.0,-36.7087973,-73.111308,True,-1,Bío-Bío,2022
6093,amekes,American Kestrel,Falco sparverius,L807764,Las Quemas Altas,2022-08-28,1.0,-40.6284479,-73.117919,False,-1,Los Lagos,2022
6113,chitin1,Chilean Tinamou,Nothoprocta perdicaria,L11120006,Los aromos-Hualañé,2022-09-23,2.0,-34.9738402,-71.8134439,True,-1,Maule,2022
6126,chiswa1,Chilean Swallow,Tachycineta leucopyga,L9860617,Llanquihue--Humedal Baquedano,2022-12-05,2.0,-41.2502783,-73.0088922,False,-1,Los Lagos,2022
6133,fragul,Franklin's Gull,Leucophaeus pipixcan,L572344,Río Aconcagua--Desembocadura Humedal Urbano,2022-08-02,3.0,-32.917422,-71.5067911,False,-1,Valparaíso,2022
6141,bawswa1,Blue-and-white Swallow,Pygochelidon cyanoleuca,L17401377,Isla Teja--Humedal Sur,2022-03-02,1.0,-39.8202614,-73.2580601,False,-1,Los Ríos,2022
6144,flistd1,Flightless Steamer-Duck,Tachyeres pteneres,L11968584,Sector Cabo Froward,2022-06-29,2.0,-41.7941532,-73.2083343,False,-1,Los Lagos,2022
6161,andcon1,Andean Condor,Vultur gryphus,L4962623,Río Colorado,2022-09-23,2.0,-33.5853541,-70.365568,False,-1,Maule,2022
6182,torduc1,Torrent Duck,Merganetta armata,L19109570,la jaula,2022-05-16,2.0,-35.0126293,-70.7386985,True,-1,Maule,2022
6189,hudgod,Hudsonian Godwit,Limosa haemastica,L822631,Buque Quemado,2022-12-31,36.0,-52.4068174,-69.5719528,False,-1,Magallanes,2022
6195,chithr1,Chiguanco Thrush,Turdus chiguanco,L7968464,Camino a Pintados--Quebrada al oeste de Putre,2022-02-12,2.0,-18.1955089,-69.5698618,False,-1,Arica y Parinacota,2022
6203,dabcin1,Dark-bellied Cinclodes,Cinclodes patagonicus,L5227538,Caleta Angelmó,2022-02-08,1.0,-41.4867865,-72.9636584,False,-1,Los Lagos,2022
6206,libher,Little Blue Heron,Egretta caerulea,L668852,Río Lluta--Desembocadura,2022-06-16,3.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota,2022
6209,incter1,Inca Tern,Larosterna inca,L6257045,Muelle Prat,2022-10-22,5.0,-33.0367698,-71.6277872,False,-1,Valparaíso,2022
6214,colplo1,Collared Plover,Charadrius collaris,L10559998,Canal El Morro--Desembocadura,2022-03-31,1.0,-36.7233074,-73.1026922,False,-1,Bío-Bío,2022
6216,dabcin1,Dark-bellied Cinclodes,Cinclodes patagonicus,L12721891,Chaitén--Costanera,2022-04-29,2.0,-42.9170581,-72.7129022,False,-1,Los Lagos,2022
6221,ocftap1,Ochre-flanked Tapaculo,Eugralla paradoxa,L774753,PN Tolhuaca--Laguna Malleco,2022-10-23,2.0,-38.2164017,-71.8207169,False,-1,Araucanía,2022
6226,rulowl1,Rufous-legged Owl,Strix rufipes,L9941415,Río Pelluco--Alto,2022-03-30,1.0,-41.479389,-72.891064,False,-1,Los Lagos,2022
6227,eardov1,Eared Dove,Zenaida auriculata,L5411765,Plaza a la Aviación,2022-11-23,2.0,-33.431353,-70.6247574,False,-1,Región Metropolitana de Santiago,2022
6228,chithr1,Chiguanco Thrush,Turdus chiguanco,L570508,Putre,2022-11-26,1.0,-18.1964537,-69.5565677,False,-1,Arica y Parinacota,2022
6229,andgoo1,Andean Goose,Oressochen melanopterus,L12412490,Guanaquilca,2022-04-21,23.0,-17.7262703,-69.4098537,False,-1,Arica y Parinacota,2022
6237,wrlrus1,Wren-like Rushbird,Phleocryptes melanops,L10828023,Laguna Chanque--Oriente,2022-12-20,1.0,-41.7473305,-73.7176288,False,-1,Los Lagos,2022
6239,wispet,Wilson's Storm-Petrel,Oceanites oceanicus,L660240,Plaza Teresa Salas,2022-12-08,4.0,-33.4432505,-70.6215978,False,-1,Región Metropolitana de Santiago,2022
6267,semsan,Semipalmated Sandpiper,Calidris pusilla,L17508543,Vía sin nombre Lepihué Los Lagos CL (-41601 -7358),2022-04-30,3.0,-41.6005608,-73.5799596,True,-1,Los Lagos,2022
6269,btsfin1,Band-tailed Sierra Finch,Rhopospina alaudina,L9189690,Humedal Ojos de Mar--Laguna Llolleo sur,2022-06-24,1.0,-33.6083874,-71.6244808,False,-1,Valparaíso,2022
6281,seacin1,Seaside Cinclodes,Cinclodes nigrofumosus,L21096125,Valparaíso Valparaíso CL (-33.034 -71.597),2022-10-02,1.0,-33.0344417,-71.5974307,True,-1,Valparaíso,2022
6291,oashum1,Oasis Hummingbird,Rhodopis vesper,L21791054,Unidad militar (regimiento ),2022-12-13,2.0,-23.6868095,-70.4165625,True,-1,Antofagasta,2022
6299,pumstp1,Pincoya Storm-Petrel,Oceanites pincoyae,L17750378,CHL-Puerto Montt (Seno de Reloncavi),2022-02-14,65.0,-41.8065348,-72.9659945,True,-1,Los Lagos,2022
6302,sctear1,Scale-throated Earthcreeper,Upucerthia dumetaria,L21227274,Entrada parque Valle del Laja,2022-10-12,2.0,-33.625074,-69.958211,True,-1,Región Metropolitana de Santiago,2022
6307,sheowl,Short-eared Owl,Asio flammeus,L976634,Cabo Blanco,2022-02-16,2.0,-39.7884884,-73.2486405,False,-1,Los Ríos,2022
6309,soater1,South American Tern,Sterna hirundinacea,L1033571,Transbordador Pargua-Chacao,2022-10-08,1.0,-41.8143142,-73.4916687,False,-1,Los Lagos,2022
6315,wepdov1,West Peruvian Dove,Zenaida meloda,L1123252,MN Pichasca,2022-03-04,1.0,-30.3879238,-70.8825883,False,-1,Coquimbo,2022
6321,twbplo1,Two-banded Plover,Charadrius falklandicus,L20106590,Playa La Trinchera--B15,2022-07-12,2.0,-35.1063126,-72.2002494,True,-1,Maule,2022
6325,houwre,House Wren,Troglodytes aedon,L12477855,CL - PV Ave Trigo,2022-04-12,1.0,-41.3335725,-72.9518606,True,-1,Los Lagos,2022
6327,blcsis2,Black-chinned Siskin,Spinus barbatus,L17974511,Llanquihue Los Lagos CL (-41257 -73005),2022-03-03,3.0,-41.2567513,-73.005414,True,-1,Los Lagos,2022
6342,flistd1,Flightless Steamer-Duck,Tachyeres pteneres,L516521,Caulín,2022-10-29,2.0,-41.8259378,-73.6275078,False,-1,Los Lagos,2022
6351,houspa,House Sparrow,Passer domesticus,L20987539,Ruta G60 San Pedro Región Metropolitana CL (-33909 -71414),2022-09-23,1.0,-33.9085428,-71.4141397,True,0,Región Metropolitana de Santiago,2022
6363,angpet1,Southern Giant-Petrel,Macronectes giganteus,L5751020,Río de las Minas--Desembocadura,2022-04-07,2.0,-53.1630859,-70.8897972,False,-1,Magallanes,2022
6384,cocher1,Cocoi Heron,Ardea cocoi,L21879132,Río Aconcagua por planta esval,2022-12-22,3.0,-32.922294,-71.483492,True,-1,Valparaíso,2022
6386,yebtea1,Yellow-billed Teal,Anas flavirostris,L3266705,Humedal Pudeto--sur,2022-01-24,13.0,-41.8858432,-73.7854578,False,-1,Los Lagos,2022
6405,whrsan,White-rumped Sandpiper,Calidris fuscicollis,L2926920,Laguna  de Puerto Prat,2022-10-28,6.0,-51.6369398,-72.6069474,False,-1,Magallanes,2022
6417,spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L976634,Cabo Blanco,2022-03-25,1.0,-39.7884884,-73.2486405,False,-1,Los Ríos,2022
6421,pasfin1,Patagonian Sierra Finch,Phrygilus patagonicus,L2252491,Río Mataquito--Piedra el Peñón,2022-07-02,1.0,-34.9821838,-72.1817636,False,-1,Maule,2022
6423,chutap1,Chucao Tapaculo,Scelorchilus rubecula,L21012188,El Tepual - Los Muermos Puerto Montt CL-Los Lagos -41.41888 -73.12402,2022-09-25,1.0,-41.418877,-73.124023,True,-1,Los Lagos,2022
6439,moutur1,Moustached Turca,Pteroptochos megapodius,L4105087,SN Humedal de Tunquén--Desembocadura Estero Casablanca,2022-01-14,1.0,-33.278503,-71.6624451,False,-1,Valparaíso,2022
6448,belgul,Belcher's Gull,Larus belcheri,L668852,Río Lluta--Desembocadura,2022-06-23,38.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota,2022
6452,yewbla2,Yellow-winged Blackbird,Agelasticus thilius,L16389357,Humedal Pajonal,2022-09-25,8.0,-33.4919789,-70.7336065,False,-1,Región Metropolitana de Santiago,2022
6465,wepdov1,West Peruvian Dove,Zenaida meloda,L21579199,Carretera Internacional CH 11 Estación Rosario Arica y Parinacota CL (-18411 -70167),2022-11-19,8.0,-18.4107521,-70.16748,True,-1,Arica y Parinacota,2022
6485,blasis1,Black Siskin,Spinus atratus,L516530,PN Lauca--Lago Chungará,2022-05-27,5.0,-18.2560888,-69.1623688,False,-1,Arica y Parinacota,2022
6490,fiediu1,Fire-eyed Diucon,Pyrope pyrope,L2773246,Mi Jardín,2022-06-20,1.0,-31.6340747,-71.1660148,True,-1,Coquimbo,2022
6499,siltea1,Silver Teal,Spatula versicolor,L3016701,Llanquihue--Humedal Las Ranas,2022-02-20,1.0,-41.262477,-73.0065,False,-1,Los Lagos,2022
6512,whrsan,White-rumped Sandpiper,Calidris fuscicollis,L606243,Humedal Tres Puentes,2022-11-24,5.0,-53.1162328,-70.8813,False,-1,Magallanes,2022
6525,blkski,Black Skimmer,Rynchops niger,L4051381,Quillaipe,2022-11-30,32.0,-41.5307483,-72.7408648,False,-1,Los Lagos,2022
6536,blaoys1,Blackish Oystercatcher,Haematopus ater,L570165,Reñaca--Montemar,2022-03-06,0.0,-32.9576713,-71.5500712,False,-1,Valparaíso,2022
6543,rocpig,Rock Pigeon,Columba livia,L6354865,Plazoleta Memorial Bombero Óscar Encalada Yovanovich,2022-08-01,2.0,-33.526513,-70.6642127,False,0,Región Metropolitana de Santiago,2022
6548,siltea1,Silver Teal,Spatula versicolor,L5054215,Villarrica--Humedal Urbano Mallolafken,2022-02-02,2.0,-39.278091,-72.2206329,False,-1,Araucanía,2022
6556,ashgoo1,Ashy-headed Goose,Chloephaga poliocephala,L21648719,Bahía Puerto Las Rosas,2022-11-26,10.0,-40.1216387,-72.362622,True,-1,Los Ríos,2022
6557,bcbeag1,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,L3537067,El Manzano,2022-09-30,2.0,-33.5852821,-70.3934813,False,-1,Región Metropolitana de Santiago,2022
6561,cintea,Cinnamon Teal,Spatula cyanoptera,L668852,Río Lluta--Desembocadura,2022-04-05,5.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota,2022
6569,rocpig,Rock Pigeon,Columba livia,L3122691,Parque O'Higgins,2022-10-23,50.0,-33.4654587,-70.6599212,False,0,Región Metropolitana de Santiago,2022
