,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region,year
57031,norgip1,Northern Giant-Petrel,Macronectes halli,L21441626,off shore,2022-11-02,2.0,-39.3044356,-73.7416766,True,-1,Araucanía,2022
57035,bulalb2,Buller's Albatross,Thalassarche bulleri,L17441374,Pelágico — Reserva Pingüino de Humboldt,2022-03-27,1.0,-29.185249,-71.754746,True,-1,Coquimbo,2022
57044,flistd1,Flightless Steamer-Duck,Tachyeres pteneres,L488817,Chacao,2022-01-15,2.0,-41.827107,-73.520143,False,-1,Los Lagos,2022
57051,amekes,American Kestrel,Falco sparverius,L15947623,Cerro Punta Alta,2022-01-19,2.0,-34.431459,-71.0393102,False,-1,Libertador General Bernardo O'Higgins,2022
57053,leasee1,Least Seedsnipe,Thinocorus rumicivorus,L18966735,Faro Cabo Carranza,2022-05-17,8.0,-35.5608328,-72.6174504,False,-1,Maule,2022
57056,silgre1,Silvery Grebe,Podiceps occipitalis,L2676504,Baño Nuevo--Toma de agua,2022-03-06,1.0,-45.2632885,-71.5108413,False,-1,Aisén del General Carlos Ibáñez del Campo,2022
57061,chitin1,Chilean Tinamou,Nothoprocta perdicaria,L16016335,Maquehua Constitución Maule CL (-35.388 -72.288),2022-04-18,1.0,-35.3880863,-72.2883763,True,-1,Maule,2022
57069,bthhue1,Black-throated Huet-huet,Pteroptochos tarnii,L21824828,Baños de Hueinahue,2022-12-14,8.0,-40.3021454,-71.8496408,False,-1,Los Ríos,2022
57075,chiswa1,Chilean Swallow,Tachycineta leucopyga,L12681802,Parque Eduardo Frei Montalva,2022-07-19,1.0,-33.5117747,-70.5877157,False,-1,Región Metropolitana de Santiago,2022
57080,categr,Cattle Egret,Bubulcus ibis,L791057,Estero El Culebrón--Desembocadura,2022-01-05,20.0,-29.9617015,-71.3218206,False,-1,Coquimbo,2022
57082,stbear2,Straight-billed Earthcreeper,Ochetorhynchus ruficaudus,L6373410,Alconcha,2022-07-09,1.0,-21.0592196,-68.4885657,False,-1,Antofagasta,2022
57112,yebtea1,Yellow-billed Teal,Anas flavirostris,L606243,Humedal Tres Puentes,2022-03-22,11.0,-53.1162328,-70.8813,False,-1,Magallanes,2022
57121,crgdov1,Croaking Ground Dove,Columbina cruziana,L19410999,Tranque Las Flores,2022-06-01,3.0,-27.4937815,-70.2693355,True,-1,Atacama,2022
